Country,Continent,ManualOmit,Gender,Record,Athlete,Date,Meet,Place,cleantime,ht,time,wind,ratified,speed,pos_at_max_dist
Burkina Faso,Africa,,M,10.14 (+1.6 m/s),Idrissa Sanou,13-Jul-02,,"Saint-Ã‰tienne, France",10.14,FALSE,10.14,FALSE,FALSE,9.861932939,94.47731755
Burundi,Africa,,M,10.84,Kassiem Ntahimpera,13-Jul-89,Jeux de la Francophonie,"Casablanca, Morocco",10.84,FALSE,10.84,FALSE,FALSE,9.225092251,88.37638376
Cameroon,Africa,,M,10.14 (+1.8 m/s),Idrissa Adam,12-Sep-11,All-Africa Games,"Maputo, Mozambique",10.14,FALSE,10.14,FALSE,FALSE,9.861932939,94.47731755
Canada,North America,,M,9.84 (+0.7 m/s),Donovan Bailey,27-Jul-96,Olympic Games,"Atlanta, United States",9.84,FALSE,9.84,FALSE,FALSE,10.16260163,97.35772358
Canada,North America,,M,9.84 (+0.2 m/s),Bruny Surin,22-Aug-99,World Championships,"Seville, Spain",9.84,FALSE,9.84,FALSE,FALSE,10.16260163,97.35772358
Cayman Islands,North America,,M,9.95 (+1.8 m/s),Kemar Hyman,7-Jul-12,Meeting de Atletismo Madrid,"Madrid, Spain",9.95,FALSE,9.95,FALSE,FALSE,10.05025126,96.28140704
Central African Republic,Africa,,M,10.33 (+1.7 m/s),Yvon Rodrigue Sialo-Ngboda,21-Jul-06,,"Tomblaine, France",10.33,FALSE,10.33,FALSE,FALSE,9.68054211,92.73959342
Chad,Africa,,M,10.25 (+0.3 m/s),Abdouraim Haroun,17-Jun-12,,"Sassari, Italy",10.25,FALSE,10.25,FALSE,FALSE,9.756097561,93.46341463
Chile,South America,,M,10.10 (+2.0 m/s),SebastiÃ¡n Keitel,26-Apr-98,,"SÃ£o Leopoldo, Brazil",10.1,FALSE,10.1,FALSE,FALSE,9.900990099,94.85148515
Chile,South America,,M,10.10 (+1.0 m/s),SebastiÃ¡n Keitel,17-Jul-98,Ibero-American Championships,"Lisbon, Portugal",10.1,FALSE,10.1,FALSE,FALSE,9.900990099,94.85148515
China,Asia,,M,9.99 (+1.5 m/s),Su Bingtian,30-May-15,Prefontaine Classic,"Eugene, United States",9.99,FALSE,9.99,FALSE,FALSE,10.01001001,95.8958959
China,Asia,,M,9.99 (âˆ’0.4 m/s),Su Bingtian,23-Aug-15,World Championships,"Beijing, China",9.99,FALSE,9.99,FALSE,FALSE,10.01001001,95.8958959
Chinese Taipei,Asia,,M,10.28 (+1.2 m/s),Yi Wei-chen,26-May-12,Taiwan Open Championships,"Taipei, Republic of China",10.28,FALSE,10.28,FALSE,FALSE,9.727626459,93.19066148
Colombia,South America,,M,10.15 (+2.0 m/s),Isidro Montoya,29-Aug-14,,"Cali, Colombia",10.15,FALSE,10.15,FALSE,FALSE,9.852216749,94.38423645
Combodia,Asia,,M,10.75 (+1.2 m/s),Pin Wanheab,25-Jul-14,Swiss Championships,"Frauenfeld, Switzerland",10.75,FALSE,10.75,FALSE,FALSE,9.302325581,89.11627907
Commonwealth of Dominica,North America,,M,10.33 (+1.9 m/s),Chris Lloyd,3-May-08,,"Houston, United States",10.33,FALSE,10.33,FALSE,FALSE,9.68054211,92.73959342
Comoros,Africa,,M,"10.32 (+1,6 m/s)",Hadhari Djaffar,23-Jun-02,,"Saint-Ouen, France",10.32,FALSE,10.32,FALSE,FALSE,9.689922481,92.82945736
Cook Islands,Oceania,,M,10.97,Mark Sherwin,4-Dec-93,,"Brisbane, Australia",10.97,FALSE,10.97,FALSE,FALSE,9.115770283,87.32907931
Costa Rica,North America,,M,10.32,Bob Colville,1-May-04,,"Ypsilanti, United States",10.32,FALSE,10.32,FALSE,FALSE,9.689922481,92.82945736
Croatia,Europe,,M,10.20 (+1.5 m/s),Dario Horvat,11-May-13,Azusa Pacific Last Chance Qualifier,"Azusa, United States",10.2,FALSE,10.2,FALSE,FALSE,9.803921569,93.92156863
Cuba,North America,,M,9.98 (+0.6 m/s),Silvio Leonard,11-Aug-77,,"Guadalajara, Mexico",9.98,FALSE,9.98,FALSE,FALSE,10.02004008,95.99198397
Cyprus,Europe,,M,10.11 (+1.5 m/s),Ioannis Zisimides,25-May-96,,"Rethymno, Greece",10.11,FALSE,10.11,FALSE,FALSE,9.891196835,94.75766568
Czech Republic,Europe,,M,10.23 (+1.0 m/s),Jan Veleba,3-Jul-10,AtletickÃ¡ Extraliga,"Pardubice, Czech Republic",10.23,FALSE,10.23,FALSE,FALSE,9.775171065,93.64613881
Democratic Republic of the Congo,Africa,,M,10.32,Olivier Sekanyambo,17-Jul-99,,"Brussels, Belgium",10.32,FALSE,10.32,FALSE,FALSE,9.689922481,92.82945736
Denmark,Europe,,M,10.29 (+2.0 m/s),Morten Jensen,18-Sep-04,,"Greve, Denmark",10.29,FALSE,10.29,FALSE,FALSE,9.718172983,93.10009718
Djibouti,Africa,,M,11.39,Ismael Abdallah Ismael,24-May-01,,"Forest, Belgium",11.39,FALSE,11.39,FALSE,FALSE,8.779631255,84.10886743
Dominican Republic,North America,,M,10.14 (+1.9 m/s),Yancarlos MartÃ_nez,21-Jul-15,Pan American Games,"Toronto, Canada",10.14,FALSE,10.14,FALSE,FALSE,9.861932939,94.47731755
East Timor,Asia,,M,11.48,J. Mezias,7-Sep-94,Asian Junior Championships,"Jakarta, Indonesia",11.48,FALSE,11.48,FALSE,FALSE,8.710801394,83.44947735
Ecuador,South America,,M,10.09 A (+2.0 m/s),Alex QuiÃ±Ã_nez,25-May-13,Grand Prix Ximena Restrepo,"MedellÃ_n, Colombia",10.09,FALSE,10.09,FALSE,FALSE,9.910802775,94.94549058
Egypt,Africa,,M,10.13 (+1.8 m/s),Amr Ibrahim Mostafa Seoud,12-Sep-11,All-Africa Games,"Maputo, Mozambique",10.13,FALSE,10.13,FALSE,FALSE,9.871668312,94.57058243
El Salvador,North America,,M,10.35 (+1.5 m/s),RubÃ©n Benitez,23-Apr-98,,"Fullerton, United States",10.35,FALSE,10.35,FALSE,FALSE,9.661835749,92.56038647
Equatorial Guinea,Africa,,M,10.6,Gustavo Envela,31-May-86,Prefontaine Classic,"Eugene, United States",10.6,FALSE,10.6,FALSE,FALSE,9.433962264,90.37735849
Eritrea,Africa,,M,10.58,Berhane Haile,4-Jun-96,,"LidingÃ¶, Sweden",10.58,FALSE,10.58,FALSE,FALSE,9.451795841,90.54820416
Estonia,Europe,,M,10.19 (+1.5 m/s),Marek Niit,31-Mar-12,Arkansas Spring Invitational,"Fayetteville, United States",10.19,FALSE,10.19,FALSE,FALSE,9.813542689,94.01373896
Ethiopia,Africa,,M,10.61 A (-0.4 m/s),Wetere Galcha,30-Apr-08,African Championships,"Addis Ababa, Ethiopia",10.61,FALSE,10.61,FALSE,FALSE,9.425070688,90.29217719
Federated States of Micronesia,Oceania,,M,10.83,John Howard,25-Jul-09,GTFA Summer Series,"Tumon, Guam",10.83,FALSE,10.83,FALSE,FALSE,9.233610342,88.45798707
Fiji,Oceania,,M,10.20 (+1.2 m/s),Banuve Tabakaucoro,8-Jul-16,Melanesian Championships,"Suva, Fiji",10.2,FALSE,10.2,FALSE,FALSE,9.803921569,93.92156863
Finland,Europe,,M,10.21 (+0.5 m/s),Tommi Hartonen,26-Jun-01,,"Vaasa, Finland",10.21,FALSE,10.21,FALSE,FALSE,9.794319295,93.82957884
France,Europe,,M,9.86 (+1.3 m/s),Jimmy Vicaut,4-Jul-15,Meeting Areva,"Saint-Denis, France",9.86,FALSE,9.86,FALSE,FALSE,10.14198783,97.16024341
France,Europe,,M,9.86 (+1.8 m/s),Jimmy Vicaut,7-Jun-16,Meeting Pro AthlÃ© Tour,"Montreuil, France",9.86,FALSE,9.86,FALSE,FALSE,10.14198783,97.16024341
French Polynesia,Oceania,,M,10.52,Jean Bourne,21-Jul-72,,"Colombes, France",10.52,FALSE,10.52,FALSE,FALSE,9.505703422,91.06463878
Gabon,Africa,,M,10.13 (+1.3 m/s),Antoine Boussombo,4-Aug-00,,"Nice, France",10.13,FALSE,10.13,FALSE,FALSE,9.871668312,94.57058243
Gabon,Africa,,M,10.13 (+1.9 m/s),Antoine Boussombo,22-Sep-00,Olympic Games,"Sydney, Australia",10.13,FALSE,10.13,FALSE,FALSE,9.871668312,94.57058243
Gambia,Africa,,M,10.16 (+1.1 m/s),Suwaibou Sanneh,30-May-13,Twilight Series #3,"New York City, United States",10.16,FALSE,10.16,FALSE,FALSE,9.842519685,94.29133858
Georgia,Europe,,M,10.35 (+1.5 m/s),Besik Gotsiridze,22-May-87,,"Tsakhkadzor, Soviet Union",10.35,FALSE,10.35,FALSE,FALSE,9.661835749,92.56038647
Germany,Europe,,M,10.03 (+0.5 m/s),Julian Reus,24-Jun-16,17th Zeulenroda Meeting,"Zeulenroda, Germany",10.03,FALSE,10.03,FALSE,FALSE,9.970089731,95.51345962
Ghana,Africa,,M,9.98 (+1.6 m/s),Leonard Myles-Mills,5-Jun-99,,"Boise, United States",9.98,FALSE,9.98,FALSE,FALSE,10.02004008,95.99198397
Gibraltar,Europe,,M,11.22 (+1.3 m/s),Jessy Franco,2-Jul-15,Island Games,Jersey,11.22,FALSE,11.22,FALSE,FALSE,8.912655971,85.38324421
